Room Type,Room Sub Type
Classroom Areas,"Nursery playrooms (restrictive, extg)"
Specialist Practical Areas,ICT-rich classrooms (extg primary)
Hall Studio and Dining Areas,Dining halls
Learning Resource Areas,School libraries (primary)
Teaching Storage Areas,"Classroom stores, room (off classroom)"
Non Teaching Storage Areas,Furniture stores
Kitchen Areas,"Food prep areas, kitchen"
Toilet Areas,"Changing rooms, with showers (pupils)"
Plant Areas,Server rooms
Circulation Areas,"Stairways, plant"
Classroom Areas,Nursery playrooms
Specialist Practical Areas,"Primary practical, temporarily ICT-rich"
Hall Studio and Dining Areas,Informal dining spaces
Learning Resource Areas,School libraries (infant)
Teaching Storage Areas,"Classroom stores, bay (off classroom)"
Non Teaching Storage Areas,"Furniture stores (chair/ table, off hall)"
Kitchen Areas,"Food prep areas, kitchen (servery & wash-up)"
Toilet Areas,Accessible (and staff) changing rooms
Plant Areas,Server rooms (1-cabinet)
Circulation Areas,"Stairways, plant (to roof)"
Classroom Areas,Nursery playrooms (2 to 3 year olds)
Specialist Practical Areas,"Kitchenettes, food bay"
Hall Studio and Dining Areas,"Servery areas, meal collection"
Learning Resource Areas,School libraries (junior)
Teaching Storage Areas,"Classroom stores, room (off infants and juniors)"
Non Teaching Storage Areas,"Furniture stores (chair, off hall)"
Kitchen Areas,"Food prep areas, kitchen (prep/ servery suite)"
Toilet Areas,"Changing rooms, ablutions and shoe space"
Plant Areas,Server rooms (2-cabinet)
Circulation Areas,"Stairways, plant (escape)"
Classroom Areas,Nursery playrooms (extensive)
Specialist Practical Areas,Primary practical (food/ science/ DT)
Hall Studio and Dining Areas,"Servery areas, satellite"
Learning Resource Areas,Faith spaces (chapel)
Teaching Storage Areas,"Classroom stores, bay (off nursery)"
Non Teaching Storage Areas,"Dining furniture stores, and servery"
Kitchen Areas,"Offices, kitchen"
Toilet Areas,Hygiene rooms
Plant Areas,Server rooms (3-cabinet)
Circulation Areas,Circulation spaces (horizontal)
Classroom Areas,"Reception classrooms (restrictive, extg)"
