Room Type,Room Sub Type
Classroom Areas,"Seminar rooms (restrictive, extg)"
ICT and Business Areas,"ICT-rich classrooms (restrictive, extg)"
Science Areas,"Science studios (restrictive, extg)"
Creative Art Areas,"Art rooms (restrictive, extg)"
Design and Tech Areas,Hair and beauty training salons
PE Basic Teaching Areas,Classrooms (PE)
Learning Resource Areas,Library resource centres (LRC)
Art and DT Resource Areas,Music practice rooms
SEN and Support Areas,Small group rooms
Teaching Storage Areas,"Classroom stores, room (off classroom)"
Non Teaching Storage Areas,Furniture stores
Kitchen Areas,"Food prep areas, kitchen"
Toilet Areas,"Changing rooms, with showers (pupils)"
Plant Areas,Server rooms
Circulation Areas,"Stairways, plant"
Classroom Areas,Seminar rooms
ICT and Business Areas,ICT-rich classrooms
Science Areas,Science studios
Creative Art Areas,Art rooms (general)
Design and Tech Areas,DT studios
PE Basic Teaching Areas,Fitness rooms (exercise studio)
Learning Resource Areas,"Study spaces, rooms (sixth form)"
Art and DT Resource Areas,Music practice rooms (extensive)
SEN and Support Areas,Small group rooms (medium)
Teaching Storage Areas,"Classroom stores, bay (off classroom)"
Non Teaching Storage Areas,"Furniture stores (chair/ table, off hall)"
Kitchen Areas,"Food prep areas, kitchen (servery & wash-up)"
Toilet Areas,Accessible (and staff) changing rooms
Plant Areas,Server rooms (1-cabinet)
Circulation Areas,"Stairways, plant (to roof)"
Classroom Areas,"Seminar rooms (extensive, extg)"
ICT and Business Areas,ICT-rich classrooms (extensive)
Science Areas,Science studios (extensive)
Creative Art Areas,Art rooms (3D)
Design and Tech Areas,"DT studios (graphic products, restrictive, extg)"
Learning Resource Areas,"Study spaces, rooms"
Art and DT Resource Areas,Recording control spaces
SEN and Support Areas,Small group rooms (large SEN etc.)
Teaching Storage Areas,Teaching resources stores (off DT studio)
Non Teaching Storage Areas,"Furniture stores (chair, off hall)"
Kitchen Areas,"Food prep areas, kitchen (prep/ servery suite)"
Toilet Areas,"Changing rooms, ablutions and shoe space"
Plant Areas,Server rooms (2-cabinet)
Circulation Areas,"Stairways, plant (escape)"
Classroom Areas,"Classrooms (restrictive, extg)"
ICT and Business Areas,"ICT-rich classrooms, semi-open (restrictive, extg)"
Science Areas,"Science laboratories (restrictive, extg)"
Creative Art Areas,Art rooms (ceramics)
Design and Tech Areas,DT studios (graphic products)
Learning Resource Areas,Faith spaces (chapel)
Art and DT Resource Areas,Music practice rooms (recording)
SEN and Support Areas,"Shared teaching areas, secondary"
Teaching Storage Areas,Teaching resources stores (off art room)
Non Teaching Storage Areas,"Dining furniture stores, and servery"
Kitchen Areas,"Offices, kitchen"
Toilet Areas,Hygiene rooms
Plant Areas,Server rooms (3-cabinet)
Circulation Areas,Circulation spaces (horizontal)
Classroom Areas,Classrooms (general)
ICT and Business Areas,"ICT-rich classrooms, semi-open"
Science Areas,Science laboratories
Creative Art Areas,Art rooms (textiles)
Design and Tech Areas,"DT studios (textiles, restrictive, extg)"
Learning Resource Areas,Faith spaces (prayer room)
Art and DT Resource Areas,Lighting and audio control spaces
SEN and Support Areas,SEN resource spaces
Teaching Storage Areas,"Equipment stores, drama"
Non Teaching Storage Areas,Retractable seating storage (off hall)
Kitchen Areas,"Food stores, kitchen"
Toilet Areas,Hygiene rooms (small 1 door)
Plant Areas,Server rooms (4-cabinet)
Circulation Areas,Corridors
Classroom Areas,Classrooms (extensive)
ICT and Business Areas,"ICT-rich classrooms, semi-open (extensive)"
Science Areas,Science laboratories (specialist)
Creative Art Areas,Photography studios
Design and Tech Areas,DT studios (textiles)
Learning Resource Areas,Staff workrooms (sacristy)
Art and DT Resource Areas,Heavy practical resource (kiln)
SEN and Support Areas,Small group rooms (inclusion/ withdrawal)
Teaching Storage Areas,General storerooms (off corridor)
Non Teaching Storage Areas,Coats and bags stores (coat hooks)
Kitchen Areas,"Food stores, kitchen (dry)"
Toilet Areas,"Hygiene rooms, small 2 doors"
Plant Areas,Server rooms (5-cabinet)
Circulation Areas,Stairways   (area per floor)
Classroom Areas,"Classrooms, double (restrictive, extg)"
ICT and Business Areas,Classrooms (temporarily ICT-rich)
Science Areas,Science laboratories (chemistry)
Creative Art Areas,"Music rooms (fitted, restrictive, extg)"
Design and Tech Areas,"DT studios (electronics & contol, restrictive, extg)"
Art and DT Resource Areas,Darkrooms
SEN and Support Areas,Medical treatment (MI) rooms
Teaching Storage Areas,Teaching resources stores (IT/ GT off corridor)
Non Teaching Storage Areas,Coats and bags stores (lockers)
Kitchen Areas,"Cold stores, kitchen"
Toilet Areas,Supervisable toilets (early years)
Plant Areas,Server rooms (ICT hub)
Circulation Areas,"Lifts           (area per floor, incl space to wait)"
Classroom Areas,"Classrooms, double"
ICT and Business Areas,ICT-rich classrooms (business studies)
Science Areas,Science laboratories (biology)
Creative Art Areas,Music rooms (fitted)
Design and Tech Areas,DT studios (electronics & control)
Art and DT Resource Areas,Light practical resource (art/ design)
SEN and Support Areas,Therapy rooms
Teaching Storage Areas,Teaching resources stores (music)
Non Teaching Storage Areas,Coats and bags stores (community lockers)
Kitchen Areas,"Cold stores, kitchen (freezer)"
Toilet Areas,Supervisable toilets (SEN)
Plant Areas,Plant rooms
Circulation Areas,Lobbies
Classroom Areas,"Classrooms, double (extensive, extg)"
ICT and Business Areas,"ICT-rich classrooms (business studies, extensive)"
Science Areas,Science laboratories (physics)
Creative Art Areas,"Music rooms (fitted, extensive)"
Design and Tech Areas,"Food rooms (demonstration, restrictive, extg)"
Art and DT Resource Areas,Corridors (with art display)
SEN and Support Areas,SEN resource spaces (ambulant support)
Teaching Storage Areas,"Food stores, off food room"
Non Teaching Storage Areas,"Equipment stores, appliance bay"
Kitchen Areas,"Toilets, kitchen (with changing area)"
Toilet Areas,"Toilets, suite (pupils)"
Plant Areas,Plant rooms (heat source)
Classroom Areas,"Semi-open classbases, home base (restrictive)"
Science Areas,Science studios (large group/ demo)
Creative Art Areas,Music and drama classrooms
Design and Tech Areas,Food rooms (demonstration)
Art and DT Resource Areas,"ICT resource spaces, open"
SEN and Support Areas,SEN resource spaces (SLCN support)
Teaching Storage Areas,"Teaching resources stores, room (off LRC)"
Non Teaching Storage Areas,Secure storerooms
Toilet Areas,"Toilets, suite (pupils, other)"
Plant Areas,Plant rooms (ventilation)
Classroom Areas,"Semi-open classbases, home base"
Creative Art Areas,Music and drama classrooms (recital)
Design and Tech Areas,"Food rooms (restrictive, extg)"
