Room Type,Room Sub Type
Classrooms,Nursery Playroom
Practical Rooms,Primary Practical Room (art / science / D&T)
"Halls, PE, Dining & Social",Multi-Purpose Hall
Learning Resource Areas,Small Group Room
Staff and Administration,Office (only) [Senior staff / Physio office base]
Teaching Storage,Classroom Storage 
Non-Teaching Storage,Coat & bag Storage
Toilets & Personal Care,Pupil Toilets
Kitchen,Kitchen
Plant,Boiler room
Circulation,Corridor
Supplementary,Corridor
Classrooms,Reception Classroom
Practical Rooms,Primary Food Room
"Halls, PE, Dining & Social",Halls (assembly)
Learning Resource Areas,Quiet/ Calming 
Staff and Administration,Staff Work Room 
Teaching Storage,Primary Practical Room Storage
Non-Teaching Storage,Mobility Equipment Storage
Toilets & Personal Care,Staff Toilets
Kitchen,Kitchen servery
Plant,Electrical Panels
Circulation,Lobby
Supplementary,Lobby
Classrooms,Primary Classroom
Practical Rooms,Music Room
"Halls, PE, Dining & Social",Halls (dining)
Learning Resource Areas,Therapy Room
Staff and Administration,Interview Room
Teaching Storage,Music Room Storage
Non-Teaching Storage,Addn Mobility equip. store
Toilets & Personal Care,Toilets (accessible)
Kitchen,Kitchen staff changing
Plant,Server room
Circulation,Circulation Through Room
Supplementary,Stairs
Classrooms,Secondary Classroom
Practical Rooms,Science Studio
"Halls, PE, Dining & Social",Halls (PE)
Learning Resource Areas,Sensory Room
Staff and Administration,Sick Bay / room
Teaching Storage,PE Equipment store
Non-Teaching Storage,Medical supplies storage
Toilets & Personal Care,Hygiene Room
Kitchen,Kitchen staff toilets
Plant,Ventilation plant
Circulation,Entrance/Lobby
Supplementary,Toilets (accessible)
Practical Rooms,Art Room
"Halls, PE, Dining & Social",Social Space (sixth form)
Learning Resource Areas,Life Skills Room
Staff and Administration,General Office 
Teaching Storage,Science Prep / storage
Non-Teaching Storage,Secure Storage
Toilets & Personal Care,Pupils Changing Room
Kitchen,Kitchen admin area
Plant,Chimneys
Circulation,Stairs 
Supplementary,Toilets
Practical Rooms,Secondary Food Room
Learning Resource Areas,Library
Staff and Administration,Head's Office
Teaching Storage,Art Resources Store
Non-Teaching Storage,Stationery Storage
Toilets & Personal Care,Pupils Shower Room
Kitchen,Food store room
Plant,Sprinkler tanks
Circulation,Stairwell
Supplementary,Pupils Changing Room
Practical Rooms,Multi-Purpose Practical
Learning Resource Areas,Soft Play Room
Staff and Administration,Office/Workshop 
Teaching Storage,Art Work Store
Non-Teaching Storage,Furniture storage
Toilets & Personal Care,Staff changing room
Kitchen,Corridor
Plant,Pool Plant
Circulation,Passenger lift
Supplementary,Staff Changing Room
Practical Rooms,Design & Technology Workshop
Learning Resource Areas,Physiotherapy Room
Staff and Administration,Staff Room (social)
Teaching Storage,DT prep / Store
Non-Teaching Storage,Specialist equipment storage
Toilets & Personal Care,Religious requirements room
Kitchen,Lobby
Plant,Plant
Circulation,Goods lift
Supplementary,Kitchen
Practical Rooms,Art & Design
Learning Resource Areas,Hydrotherapy/ Warm Water Pool
Staff and Administration,Staff Room (prep and social)
Teaching Storage,DT resources store
Non-Teaching Storage,Pool Chemical storage
Toilets & Personal Care,Laundry
Kitchen,Kitchen delivery area
Plant,Other
Circulation,Platform lift
Supplementary,Waiting area
Practical Rooms,Health & Beauty
Learning Resource Areas,Group Room
Staff and Administration,Meeting/Training Room
Teaching Storage,Food room store
Non-Teaching Storage,Medical gases store
Kitchen,Kitchen refuse area [external]
Supplementary,Observation Room
Practical Rooms,Car Maintenance
Learning Resource Areas,Kiln room
Staff and Administration,Parents Room
Teaching Storage,Drama store
Non-Teaching Storage,Maintenance 
Supplementary,Meeting Room
Practical Rooms,Construction
Learning Resource Areas,Recording room
Staff and Administration,Medical Treatment Room
Teaching Storage,Outdoor PE
Non-Teaching Storage,Other non-teaching storage
Supplementary,Storage
Practical Rooms,ICT Suite
Learning Resource Areas,Other
Staff and Administration,Nurse's Base
Teaching Storage,Therapy Store
Supplementary,Play Room
Practical Rooms,Food Bay
Staff and Administration,Reprographics Room
Teaching Storage,Other Teaching Storage
Supplementary,Pool Hall
Practical Rooms,Other
Staff and Administration,Reception
Supplementary,Office
Supplementary,Gym
Supplementary,Staff Residential
Supplementary,Enhanced Facilities
Supplementary,Extra Support Facilities
Supplementary,Community Provision
Residential,Pupils' Bedroom
Residential,Pupils'  Bathroom
Residential,Pupils' Shower room
Residential,Hygiene Room
Residential,Pupil Toilets
Residential,Pupils' Accessible Toilet
Residential,Pupils' Lounge
Residential,Staff Bedroom
Residential,Staff Bathroom
Residential,Staff WC
Residential,Staff shower room
Residential,Staff Lounge
Residential,Office
Residential,Dining
Residential,Storage
Residential,Linen Store
Residential,Kitchen
Residential,Corridor
Residential,Stairs
Residential,Stairwell
Residential,Lift
Residential,Other
Residential,Boiler room
